table_name,column_name,data_type
company_holidays,id,bigint
company_holidays,date,date
company_holidays,description,text
departments,id,bigint
departments,created_at,timestamp with time zone
departments,name,text
document_requests,id,bigint
document_requests,created_at,timestamp with time zone
document_requests,employeeId,bigint
document_requests,employeeName,text
document_requests,type,text
document_requests,message,text
document_requests,status,text
document_requests,relatedRequestId,text
document_requests,submittedAt,date
document_requests,text,text
document_requests,fileName,text
document_requests,fileData,text
document_requests,docHtml,text
document_requests,signature,text
document_templates,id,bigint
document_templates,created_at,timestamp with time zone
document_templates,template_name,text
document_templates,template_fields,jsonb
document_templates,requires_attachment,boolean
employees,id,bigint
employees,created_at,timestamp with time zone
employees,name,text
employees,dept,text
employees,position,text
employees,entryDate,date
employees,email,text
employees,password,text
employees,isManager,boolean
employees,adjustments,jsonb
employees,adjustment_notes,text
employees,leave_adjustment,integer
employees,leave_renewal_date,date
employees,department_id,bigint
employees,role,text
employees,user_id,uuid
issues,id,bigint
issues,created_at,timestamp with time zone
issues,employee_id,bigint
issues,created_by_manager_name,text
issues,issue_type,text
issues,details,text
issues,required_template_id,bigint
issues,status,text
issues,resolved_document_id,bigint
leave_requests,employee_id,bigint
leave_requests,employee_name,text
leave_requests,dates,ARRAY
leave_requests,status,text
leave_requests,created_at,timestamp with time zone
leave_requests,id,bigint
leave_requests,reason,text
leave_requests,signature,text
leave_requests,acknowledged_by_employee,boolean
leave_requests,approval_stage,character varying
leave_requests,middle_manager_id,bigint
leave_requests,middle_manager_status,character varying
leave_requests,middle_approved_at,timestamp without time zone
leave_requests,final_manager_status,character varying
leave_requests,final_approved_at,timestamp without time zone
leave_requests,rejection_reason,text
positions,id,bigint
positions,created_at,timestamp with time zone
positions,name,text
schedules,id,bigint
schedules,created_at,timestamp with time zone
schedules,employee_id,bigint
schedules,date,date
schedules,status,text
schedules,sort_order,integer
submitted_documents,id,bigint
submitted_documents,created_at,timestamp with time zone
submitted_documents,employee_id,bigint
submitted_documents,employee_name,text
submitted_documents,template_id,bigint
submitted_documents,template_name,text
submitted_documents,submission_data,jsonb
submitted_documents,signature,text
submitted_documents,status,text
submitted_documents,attachment_url,text
submitted_documents,related_issue_id,bigint
team_layouts,id,bigint
team_layouts,created_at,timestamp with time zone
team_layouts,manager_id,uuid
team_layouts,month,date
team_layouts,layout_data,jsonb
